config,n,n_answerable,n_unanswerable,n_errors,hit_at_3_rate,citation_accuracy,false_acceptance_rate,false_refusal_rate,answer_full_pct,answer_partial_pct,answer_wrong_pct,n_graded,avg_latency_seconds,p50_latency_seconds,avg_total_tokens,bridge_count,bridge_hit3_rate,non_bridge_count
page_aware,50,34,16,0,94.1%,100.0%,6.2%,2.9%,82.4%,14.7%,2.9%,34,2.31,1.78,4197,4,100.0%,46
fixed_size,50,34,16,0,88.2%,90.0%,6.2%,11.8%,74.2%,25.8%,0.0%,31,1.60,1.40,2711,4,100.0%,46
longcontext,50,34,16,0,,79.4%,0.0%,0.0%,88.2%,11.8%,0.0%,34,1.38,1.29,41417,4,,46
