file,total_pages,time_ingest_s,chunk_by_page_normal,chunk_by_page_bridge,chunk_by_page_total,chunk_fixed_size_total,time_chunking_s,time_embed_index_s,ram_estimate_mb,time_total_s
normal_hienphap_33tr.pdf,33,16.93,94,32,126,103,13.12,39.24,0.37,69.29
normal_vinamilkbaocao2014_53tr.pdf,53,52.91,189,52,241,194,25.56,70.24,0.71,148.71
normal_lichsudang_C1&2_60tr.pdf,60,45.79,230,57,287,258,31.85,71.71,0.84,149.35
mixedscan_qcvn06_38tr.pdf,38,10.99,118,29,147,124,17.8,49.86,0.43,78.65
oldenc_vni_118-2025-qh15_23tr.pdf,23,9.34,91,22,113,108,13.38,35.97,0.33,58.68
oldenc_tcvn3_36-2024-qh15_53tr.pdf,53,16.37,215,52,267,260,34.11,66.41,0.78,116.89
nodiacritic_118-2025-qh15_20tr.pdf,20,5.92,113,19,132,108,13.35,38.54,0.39,57.81
