file,so_trang,so_chunk,lan_chay_thu,co_tai_mo_hinh_lan_dau,t_doc_pdf_s,t_phat_hien_scan_s,t_chuan_hoa_s,t_chia_doan_s,t_dung_chi_muc_s,TONG_thoi_gian_san_sang_s,cau_hoi_mau,t_tim_kiem_s
nodiacritic_118-2025-qh15_20tr.pdf,20,175,1,True,2.88,0.0,3.46,42.92,46.67,95.94,,
normal_hienphap_33tr.pdf,33,143,2,False,7.19,0.0,7.5,8.05,29.61,52.35,Điều 61 nói gì về giáo dục?,0.05
normal_vinamilkbaocao2014_53tr.pdf,53,309,3,False,22.27,0.0,22.64,14.97,80.06,139.94,Vinamilk có bao nhiêu nhà máy?,0.06
normal_lichsudang_C1&2_60tr.pdf,60,366,4,False,48.63,0.0,48.41,36.65,90.87,224.57,,
